name	genre	type	episodes	rating
Ao no Exorcist	Action, Demons, Fantasy, Shounen, Supernatural	TV	25	7.92
Aa! Megami-sama! Movie	Comedy, Magic, Romance, Seinen, Supernatural	Movie	1	7.65
Overlord	Action, Adventure, Fantasy, Game, Magic, Supernatural	TV	13	8.04	[1, 3, 4]
The Last: Naruto the Movie	Action, Martial Arts, Romance, Shounen, Super Power	Movie	1	7.88
Wata no Kuni Hoshi	Drama, Fantasy, Psychological, Romance, Shoujo	Movie	1	7.15
Dragon Ball Z Movie 14: Kami to Kami	Action, Adventure, Fantasy, Martial Arts, Shounen, Super Power	Movie	1	7.62
Minami-ke	Comedy, School, Slice of Life	TV	13	7.81
Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu Picture Drama	Action, Comedy, Military	Special	1	7.54
Blue Seed	Action, Adventure, Comedy, Demons, Drama, Ecchi, Horror, Mystery, Romance, Sci-Fi	TV	26	7.13
Crayon Shin-chan Movie 03: Unkokusai no Yabou	Comedy, Ecchi, Kids, School, Shounen, Slice of Life	Movie	1	7.17
Mardock Scramble: The Second Combustion	Action, Psychological, Sci-Fi	Movie	1	7.5
Soukyuu no Fafner: Dead Aggressor	Action, Drama, Mecha, Military, Sci-Fi	TV	25	7.38
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen	Action, Horror, Mystery, Psychological	TV	12	7.87
Captain Future	Action, Adventure, Sci-Fi, Shounen	TV	52	7.13
Saki Achiga-hen: Episode of Side-A	Game, School, Slice of Life	TV	12	7.38
Suzuka	Drama, Romance, Sports	TV	26	7.35
Initial D Final Stage	Cars, Seinen, Sports	TV	4	8.29
Grimm Masterpiece Theater II	Adventure, Comedy, Fantasy, Kids, Magic	TV	23	7.58
Shin Hakkenden	Action, Adventure, Martial Arts, Sci-Fi	TV	26	7.25
Ranma: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no Houou	Action, Adventure, Comedy, Martial Arts, Shounen, Supernatural	Movie	1	7.5
Afro Samurai Movie	Action, Adventure, Samurai	Movie	1	7.59
Gantz:O	Action, Drama, Ecchi, Horror, Psychological, Sci-Fi, Seinen, Supernatural	Movie	1	7.34
Qin Shiming Yue Zhi: Zhu Zi Bai Jia	Action, Fantasy, Historical, Martial Arts	TV	34	7.49
Rurouni Kenshin: Meiji Kenkaku Romantan	Action, Adventure, Comedy, Historical, Romance, Samurai	TV	94	8.43
Claymore	Action, Adventure, Demons, Fantasy, Shounen, Super Power, Supernatural	TV	26	7.92
Shingetsutan Tsukihime	Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire	TV	12	7.1
ef: A Tale of Melodies.	Drama, Mystery, Romance, Supernatural	TV	12	8.18
Tokyo Ghoul	Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural	TV	12	8.07
Ookami Kodomo no Ame to Yuki	Fantasy, Slice of Life	Movie	1	8.84
Uchuu Senkan Yamato (Movie)	Drama, Military, Sci-Fi, Space	Movie	1	7.04
El Cazador de la Bruja	Adventure, Drama, Mystery	TV	26	7.32
Zero no Tsukaima	Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School	TV	13	7.62
Shuumatsu no Izetta	Action, Historical, Military	TV	12	7.12
Ano Natsu de Matteru: Bokutachi wa Koukou Saigo no Natsu wo Sugoshinagara, Ano Natsu de Matteiru.	Comedy, Drama, Romance, Sci-Fi, Slice of Life	Special	1	7.29
Hikaru no Go	Comedy, Game, Shounen, Supernatural	TV	75	8.19
Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me	Comedy, Seinen, Slice of Life	TV	13	7.49
Kyattou Ninden Teyandee	Action, Comedy, Mecha, Sci-Fi, Shounen, Super Power	TV	54	7.19
Hourou Musuko	Drama, School, Slice of Life	TV	11	7.8
Kara no Kyoukai 1: Fukan Fuukei	Action, Mystery, Supernatural, Thriller	Movie	1	7.81
Doraemon Movie 28: Nobita to Midori no Kyojin Den	Adventure, Comedy, Fantasy, Kids, Shounen	Movie	1	7.54
Kurogane no Linebarrels	Action, Mecha, Sci-Fi	TV	24	7.09
Vexille: 2077 Nihon Sakoku	Action, Military, Sci-Fi	Movie	1	7.04
Uragiri wa Boku no Namae wo Shitteiru	Adventure, Drama, Fantasy, Shoujo, Shounen Ai	TV	24	7.43
Dennou Coil	Adventure, Comedy, Drama, Mystery, Sci-Fi	TV	26	8.19
Ookiku Furikabutte	Comedy, Sports	TV	25	8.11
SKET Dance	Comedy, School, Shounen	TV	77	8.36
Acchi Kocchi (TV): Place=Princess	Comedy, Romance, School, Seinen, Slice of Life	Special	1	7.62
Dragon Ball Movie 4: Saikyou e no Michi	Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen, Super Power	Movie	1	7.33
Hiiro no Kakera Dai Ni Shou	Fantasy, Romance, Shoujo, Supernatural	TV	13	7.38
Akazukin Chacha	Adventure, Comedy, Fantasy, Magic, Romance, Shoujo	TV	74	7.48
Gochuumon wa Usagi Desu ka?	Comedy, Slice of Life	TV	12	7.6
Joshiraku	Comedy, Slice of Life	TV	13	7.55
Chuunibyou demo Koi ga Shitai!	Comedy, Drama, Romance, School, Slice of Life	TV	12	7.95
Aoyama Goushou Tanpenshuu	Adventure, Comedy, Mystery, Police, Shounen	Special	7	7.41
Aura: Maryuuin Kouga Saigo no Tatakai	Comedy, Drama, Romance, School, Supernatural	Movie	1	7.67
Arakawa Under the Bridge x Bridge	Comedy, Romance, Seinen	TV	13	7.85
Akage no Anne	Drama, Historical, Slice of Life	TV	50	7.6
Mouretsu Pirates: Abyss of Hyperspace	Sci-Fi, Space	Movie	1	7.26
Eikoku Koi Monogatari Emma	Drama, Historical, Romance, Seinen, Slice of Life	TV	12	7.81
Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou	Adventure, Comedy, Fantasy, Sci-Fi, Shounen	Movie	1	7.24
Shikabane Hime: Kuro	Action, Horror	TV	12	7.45
Buddy Complex	Action, Mecha, Sci-Fi	TV	13	7.29
Pokemon Black and White 2: Introduction Movie	Action, Fantasy, Kids	ONA	1	7.71
Pokemon the Movie XY&amp;Z: Volcanion to Karakuri no Magiana	Adventure, Fantasy, Kids	Movie	1	7.05
Darker than Black: Ryuusei no Gemini	Action, Mystery, Sci-Fi, Super Power	TV	12	7.62
Galaxy Angel 4	Comedy, Sci-Fi	TV	13	7.37
High School DxD	Comedy, Demons, Ecchi, Harem, Romance, School	TV	12	7.7
Oniisama e...	Drama, School, Shoujo, Shoujo Ai	TV	39	7.88
Barakamon	Comedy, Slice of Life	TV	12	8.5
Fullmetal Alchemist	Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen	TV	51	8.33
Qin Shiming Yue Zhi: Ye Jin Tianming	Action, Fantasy, Historical, Martial Arts	TV	18	7.24
City Hunter 2	Action, Comedy, Mystery, Shounen	TV	63	8.12
Detective Conan Movie 14: The Lost Ship in the Sky	Action, Mystery, Police, Shounen	Movie	1	8.29
Uchuu Kaizoku Captain Harlock: Arcadia-gou no Nazo	Action, Adventure, Drama, Sci-Fi, Space	Movie	1	7.18
Seikai no Senki Special	Action, Military, Romance, Sci-Fi, Space	Special	1	7.5
Hokuto no Ken	Action, Drama, Martial Arts, Sci-Fi, Shounen	TV	109	7.99
Working!!!: Lord of the Takanashi	Comedy, Romance, Slice of Life	Special	1	8.34
Mirai Shounen Conan (Movie)	Adventure, Drama, Sci-Fi	Movie	1	7.16
Air Movie	Drama, Romance, Supernatural	Movie	1	7.39
Ryuusei no Rockman	Action, Game, Sci-Fi, Shounen	TV	55	7.31
Mekakucity Actors	Comedy, Romance, Sci-Fi, Super Power, Supernatural	TV	12	7.21
Natsuyuki Rendezvous	Drama, Josei, Romance, Supernatural	TV	11	7.36
Dragon Ball Kai (2014)	Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power	TV	61	8.01
Taiho Shichau zo Special	Action, Comedy, Police, Shounen	TV	20	7.17
Black Cat Special	Action, Comedy, Shounen	Special	1	7.29
Fune wo Amu	Drama, Slice of Life	TV	11	7.6
Samurai Deeper Kyou	Adventure, Comedy, Historical, Shounen, Supernatural	TV	26	7.02
Freezing Vibration	Action, Drama, Ecchi, Harem, Martial Arts, Military, Romance, Sci-Fi, Seinen	TV	12	7.1
YAT Anshin! Uchuu Ryokou 2	Adventure, Comedy, Sci-Fi, Shounen	TV	25	7.07
Macross F Movie 2: Sayonara no Tsubasa	Action, Mecha, Military, Music, Romance, Sci-Fi, Space	Movie	1	8.06
Suisei no Gargantia Specials	Action, Mecha, Sci-Fi	Special	2	7.24
Mobile Fighter G Gundam	Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports	TV	49	7.62
Code Geass: Hangyaku no Lelouch	Action, Mecha, Military, School, Sci-Fi, Super Power	TV	25	8.83
Taiyou no Ko Esteban	Adventure, Historical, Sci-Fi	TV	39	7.74
Seimei no Kagaku: Micro Patrol	Adventure	TV	26	7.26
Eyeshield 21	Action, Comedy, Shounen, Sports	TV	145	8.08
Zero no Tsukaima: Futatsuki no Kishi	Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School	TV	12	7.73
Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku Kara	Action, Mecha, Military	Movie	1	7.55
Fate/kaleid liner Prisma Illya 2wei!	Action, Comedy, Fantasy, Magic	TV	10	7.47
New Initial D Movie: Legend 1 - Kakusei	Action, Cars, Seinen, Sports	Movie	1	7.92
Shokugeki no Souma: Ni no Sara	Ecchi, School, Shounen	TV	13	8.5
Initial D Fourth Stage	Action, Cars, Drama, Seinen, Sports	TV	24	8.24
Magic Knight Rayearth II	Adventure, Drama, Fantasy, Magic, Mecha, Romance, Shoujo	TV	29	7.61
Muteki Choujin Zanbot 3	Action, Drama, Mecha, Sci-Fi, Shounen	TV	23	7.21
Kochira Katsushikaku Kameari Kouenmae Hashutsujo The Movie	Action, Comedy, Mystery, Police	Movie	1	7.29
Steins;Gate	Sci-Fi, Thriller	TV	24	9.17
Shangri-La	Action, Drama, Sci-Fi	TV	24	7.16
Legend of Basara	Adventure, Drama, Romance, Shoujo	TV	13	7.47
Figure 17: Tsubasa &amp; Hikaru	Sci-Fi, Slice of Life	TV	13	7.34
Kakutou Bijin Wulong: Rebirth	Action, Comedy, Martial Arts, School, Shounen	TV	25	7.12
Aria The Natural	Fantasy, Sci-Fi, Shounen, Slice of Life	TV	26	8.3
Bishoujo Senshi Sailor Moon R: The Movie	Drama, Magic, Romance, Shoujo	Movie	1	7.78
Kanon	Drama, Romance, Slice of Life, Supernatural	TV	13	7.27
Mangaka-san to Assistant-san to The Animation Specials	Comedy, Ecchi, Harem, Seinen, Slice of Life	Special	6	7.37
Renkin San-kyuu Magical? Pokaan Specials	Comedy, Ecchi, Magic, Parody, Vampire	Special	3	7.05
Tamayura: Sotsugyou Shashin Part 2 - Hibiki	Comedy, Drama, Slice of Life	Movie	1	7.85
Bishoujo Senshi Sailor Moon R: Make Up! Sailor Senshi	Shoujo	Special	1	7.22
Keroro Gunsou Movie 4: Gekishin Dragon Warriors de Arimasu!	Comedy	Movie	1	7.56
Trigun	Action, Comedy, Sci-Fi	TV	26	8.32
Himitsu: The Revelation	Mystery, Police, Psychological, Sci-Fi, Shoujo	TV	26	7.42
Pokemon Advanced Generation	Action, Adventure, Comedy, Fantasy, Kids	TV	192	7.2
Kakumeiki Valvrave 2nd Season	Action, Mecha, Space	TV	12	7.43
Tibet Inu Monogatari	Adventure	Movie	1	7.49
&quot;Bungaku Shoujo&quot; Movie	Drama, Mystery, Romance, School	Movie	1	7.63
Yondemasu yo, Azazel-san. Z	Comedy, Demons, Supernatural	TV	13	7.65
Rokka no Yuusha	Action, Adventure, Fantasy, Magic, Mystery	TV	12	7.63
Hajime no Ippo: New Challenger	Comedy, Drama, Shounen, Sports	TV	26	8.75
Gungrave	Action, Drama, Sci-Fi, Seinen, Super Power	TV	26	7.97
Ie Naki Ko Remi Specials	Adventure, Drama	Special	3	7.72
Fullmetal Alchemist: Brotherhood Specials	Adventure, Drama, Fantasy, Magic, Military, Shounen	Special	4	8.11
Kinnikuman II Sei: Ultimate Muscle 2	Action, Comedy, Martial Arts, Sci-Fi, Shounen, Sports	TV	13	7.03
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero	Sci-Fi, Thriller	Special	1	8.34
Sengoku Basara Two: Ryuko, Itadaki no Chikai! Atsuki Mirai e Kakeru Tamashii!!	Action, Historical, Samurai	Special	1	7.47
Pokemon Diamond &amp; Pearl: Dialga vs. Palkia vs. Darkrai	Action, Adventure, Comedy, Drama, Fantasy, Kids	Movie	1	7.34
Ansatsu Kyoushitsu (TV) 2nd Season	Action, Comedy, School, Shounen	TV	25	8.68
Beelzebub: Hirotta Akachan wa Daimaou!?	Action, Comedy, Demons, School, Shounen, Supernatural	Special	1	7.34
Appleseed (Movie)	Action, Drama, Mecha, Military, Police, Sci-Fi, Shounen	Movie	1	7.21
Poulette no Isu	Comedy, Kids, Slice of Life	ONA	1	7.16
Kimikiss Pure Rouge	Drama, Romance, School	TV	24	7.48
Break Blade 3: Kyoujin no Ato	Action, Fantasy, Mecha, Military, Shounen	Movie	1	7.94
Aa! Megami-sama! (TV)	Comedy, Magic, Romance, Seinen, Supernatural	TV	24	7.45
Appleseed Saga Ex Machina	Action, Mecha, Military, Sci-Fi	Movie	1	7.47
Genshiken	Comedy, Parody, Slice of Life	TV	12	7.76
HeatGuy J	Action, Adventure, Mecha, Police, Sci-Fi	TV	25	7.34
Cobra The Animation	Action, Adventure, Sci-Fi, Space	TV	13	7.18
Clannad: After Story	Drama, Fantasy, Romance, Slice of Life, Supernatural	TV	24	9.06
Pokemon Generations	Action, Adventure, Fantasy, Game, Kids	ONA	18	7.21
Shakugan no Shana II (Second)	Action, Drama, Fantasy, Romance, School, Supernatural	TV	24	7.79
Fate/stay night: Unlimited Blade Works 2nd Season	Action, Fantasy, Magic, Shounen, Supernatural	TV	13	8.45
Ixion Saga DT	Action, Comedy, Fantasy	TV	25	7.36
Initial D Fifth Stage	Action, Cars, Drama, Seinen, Sports	TV	14	8.14
Witch Hunter Robin	Action, Drama, Magic, Mystery, Police, Supernatural	TV	26	7.36
UN-GO	Mystery, Supernatural	TV	11	7.53
Galaxy Angel 3 Specials	Comedy, Sci-Fi	Special	2	7.37
Erementar Gerad	Adventure, Comedy, Fantasy, Magic, Romance, Super Power	TV	26	7.44
Konnichiwa Anne: Before Green Gables	Drama, Historical, Kids, Slice of Life	TV	39	7.63
Papuwa	Adventure, Comedy	TV	26	7.02
Chicchana Yukitsukai Sugar	Comedy, Fantasy, Slice of Life	TV	24	7.19
Grisaia no Meikyuu: Caprice no Mayu 0	Drama	Special	1	8.05
D.C.II: Da Capo II	Drama, Ecchi, Romance, School	TV	13	7.05
Urusei Yatsura	Action, Adventure, Comedy, Drama, Romance, Sci-Fi	TV	195	7.78
Full Metal Panic! The Second Raid Episode 000	Action, Adventure, Mecha, Military	Special	1	7.55
Bakuman.: Deraman.	Comedy, School, Shounen	Special	2	7.32
Inazuma Eleven: Saikyou Gundan Ogre Shuurai	Shounen, Sports, Super Power	Movie	1	7.49
Hitsugi no Chaika: Avenging Battle	Action, Adventure, Comedy, Fantasy, Romance, Shounen	TV	10	7.33
Mister Ajikko	Comedy, Shounen	TV	99	7.31
Higurashi no Naku Koro ni Special: Nekogoroshi-hen	Comedy, Mystery	Special	1	7.32
Kuroshitsuji II	Action, Comedy, Demons, Fantasy, Shounen, Supernatural	TV	12	7.55
RahXephon: Pluralitas Concentio	Action, Drama, Mecha, Psychological, Romance, Sci-Fi	Movie	1	7.16
Sunabouzu	Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen	TV	24	7.55
Ie Naki Ko	Adventure, Drama, Historical, Kids, Slice of Life	TV	51	7.9
Akachan to Boku	Comedy, Drama, Shoujo	TV	35	8.02
Ookami Shoujo to Kuro Ouji	Comedy, Romance, School, Shoujo	TV	12	7.47
Mojakou	Comedy, Fantasy, Sci-Fi	TV	74	7.34
Cyborg Kuro-chan	Comedy, Sci-Fi	TV	66	7.18
To LOVE-Ru	Comedy, Ecchi, Harem, Romance, School, Sci-Fi	TV	26	7.34
Ranma   ½: Tendou-ke no Oyobidenai Yatsura!	Comedy, Martial Arts, Slice of Life	Special	1	7.13
Lady Jewelpet	Fantasy, Magic, Romance, Shoujo	TV	52	7.61
Amatsuki	Action, Fantasy, Historical, Shoujo, Supernatural	TV	13	7.04
One Piece	Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power	TV	Unknown	8.58
Shisha no Teikoku	Historical, Psychological, Sci-Fi	Movie	1	7.04
Mardock Scramble: The Third Exhaust	Action, Psychological, Sci-Fi	Movie	1	7.57
Ikkyuu-san	Comedy, Historical, Kids	TV	296	7.05
gdgd Fairies	Comedy	TV	12	7.06
Groove Adventure Rave	Adventure, Comedy, Fantasy, Romance, Shounen	TV	51	7.45
Mahou Senshi Louie	Adventure, Comedy, Fantasy, Magic, Shounen	TV	24	7.24
Hokuto no Ken: Raoh Gaiden Junai-hen	Action, Adventure, Martial Arts	Movie	1	7.54
Kingdom	Action, Historical, Military, Seinen	TV	38	8.24
Kamikaze Kaitou Jeanne	Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo	TV	44	7.52
Plastic Neesan	Comedy, School	ONA	12	7.41
Dragon Ball Super	Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power	TV	Unknown	7.4
Kokoro Connect	Comedy, Drama, Romance, School, Slice of Life, Supernatural	TV	13	8.01
Break Blade 2: Ketsubetsu no Michi	Action, Fantasy, Mecha, Military, Shounen	Movie	1	7.86
Dragon Ball Movie 1: Shen Long no Densetsu	Action, Adventure, Comedy, Fantasy, Shounen, Super Power	Movie	1	7.05
Hadashi no Gen 2	Drama, Historical, Shounen	Movie	1	7.5
Sidonia no Kishi Movie	Action, Mecha, Sci-Fi, Seinen, Space	Movie	1	7.34
Rosario to Vampire Capu2	Comedy, Ecchi, Fantasy, Harem, Romance, School, Vampire	TV	13	7.24
Yamato Nadeshiko Shichihenge	Comedy, Shoujo	TV	25	7.89
Tenkuu no Shiro Laputa	Adventure, Fantasy, Romance, Sci-Fi	Movie	1	8.38
Black Jack: Futari no Kuroi Isha	Drama	Movie	1	7.42
Mai Mai Shinko to Sennen no Mahou	Adventure, Drama	Movie	1	7.33
Yowamushi Pedal: Spare Bike	Comedy, Drama, Shounen, Sports	Movie	1	7.45
Potemayo	Comedy, School, Seinen	TV	12	7.41
Precure All Stars Movie DX3: Mirai ni Todoke! Sekai wo Tsunagu Nijiiro no Hana	Action, Fantasy, Magic, Shoujo	Movie	1	7.61
Dual Parallel! Trouble Adventures	Action, Comedy, Harem, Mecha, Sci-Fi, Shounen	TV	13	7.17
Hadashi no Gen	Drama, Historical	Movie	1	7.92
Umineko no Naku Koro ni	Horror, Mystery, Psychological, Supernatural	TV	26	7.34
Genki Bakuhatsu Ganbaruger	Mecha, Shounen	TV	47	7.06
World Trigger	Action, School, Sci-Fi, Shounen, Supernatural	TV	73	7.75
Free!: Eternal Summer	Comedy, School, Slice of Life, Sports	TV	13	7.94
A-Channel: +A-Channel	Comedy, School, Seinen, Slice of Life	Special	11	7.05
Mawaru Penguindrum	Comedy, Drama, Mystery, Psychological	TV	24	8.08
Gintama #039;	Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen	TV	51	9.16
Uchuu Kyoudai	Comedy, Sci-Fi, Seinen, Slice of Life, Space	TV	99	8.59
Aria The Origination Picture Drama	Fantasy, Sci-Fi, Shounen, Slice of Life	Special	7	7.27
Soukyuu no Fafner: Dead Aggressor - Heaven and Earth	Action, Drama, Mecha, Military, Sci-Fi	Movie	1	7.46
Kokoro ga Sakebitagatterunda.	Drama, Romance, School	Movie	1	8.32
Kaze no Naka no Shoujo: Kinpatsu no Jeanie	Drama, Historical	TV	52	7.17
Fushigi Yuugi Special: Nakago Shikkari Shinasai!	Comedy	Special	2	7.25
Zoids Shinseiki/Zero	Adventure, Comedy, Mecha, Sci-Fi, Shounen, Sports	TV	26	7.45
Re:Zero kara Hajimeru Isekai Seikatsu	Drama, Fantasy, Psychological, Thriller	TV	25	8.64
Doraemon Movie 17: Nobita to Ginga Express	Fantasy	Movie	1	7.39
Kyousou Giga (2012)	Action, Fantasy, Supernatural	ONA	5	7.25
Abenobashi Mahou Shoutengai	Comedy, Ecchi, Fantasy, Parody	TV	13	7.38
Death Billiards	Drama, Game, Mystery, Psychological, Thriller	Movie	1	8.04
Ghost in the Shell: Arise - Border:4 Ghost Stands Alone	Mecha, Police, Psychological, Sci-Fi	Movie	1	7.6
Gundam Build Fighters Try	Action, Mecha, Sci-Fi	TV	25	7.53
Mahou Shoujo Lyrical Nanoha A&#039;s	Action, Comedy, Drama, Magic, Super Power	TV	13	8.1
Orange: Mirai	Drama, Romance, School, Sci-Fi, Shoujo	Movie	1	7.56
Shakugan no Shana Movie	Action, Fantasy, Supernatural	Movie	1	7.46
Ushiro no Shoumen Daare	Drama, Historical	Movie	1	7.99
Utawarerumono Specials	Action, Comedy, Drama, Fantasy	Special	6	7.75
Omae Umasou da na	Action, Adventure, Fantasy, Kids	Movie	1	8.13
Sekai Meisaku Douwa: Hakuchou no Mizuumi	Drama, Fantasy, Romance	Movie	1	7.31
Manga Sekai Mukashibanashi	Adventure, Drama, Fantasy, Historical	TV	127	7.31
Diamond no Ace: Second Season	Comedy, School, Shounen, Sports	TV	51	8.5
Detective Conan: Happy New Year Special	Action, Comedy, Mystery, Police, Shounen	Special	1	7.15
H2O: Footprints in the Sand	Harem, Romance, School	TV	12	7.26
Trinity Seven	Action, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Supernatural	TV	12	7.43
UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku	Comedy, Romance, Sci-Fi	TV	12	7.1
Tonari no Kaibutsu-kun	Comedy, Romance, School, Shoujo, Slice of Life	TV	13	7.77
Wakakusa Monogatari: Nan to Jo-sensei	Drama, Historical, School, Slice of Life	TV	40	7.73
Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture	Action, Drama, Military, Sci-Fi, Space	Movie	1	8.21
Yuki no Joou	Adventure, Drama, Fantasy	TV	36	7.19
Soul Eater	Action, Adventure, Comedy, Fantasy, Shounen, Supernatural	TV	51	8.08
Denpa Onna to Seishun Otoko	Comedy, Sci-Fi, Seinen, Slice of Life	TV	12	7.33
Saki Zenkoku-hen	Game, School, Slice of Life	TV	13	7.49
Bleach: The Sealed Sword Frenzy	Adventure, Comedy, Drama, Fantasy, Shounen, Supernatural	Special	1	7.05
Shin Mazinger Shougeki! Z-hen	Action, Mecha, Shounen, Super Power	TV	26	7.96
Redline	Action, Cars, Sci-Fi, Sports	Movie	1	8.33
Shoukoushi Cedie	Drama, Shoujo, Slice of Life	TV	43	7.45
Glass no Kamen (2005)	Drama, Shoujo	TV	51	8.23
Ougon Yuusha Goldran	Action, Adventure, Fantasy, Mecha, Sci-Fi, Shounen	TV	48	7.25
Hetalia: The World Twinkle	Comedy, Historical, Parody	ONA	15	7.58
Hokuto no Ken Movie	Adventure, Sci-Fi, Shounen	Movie	1	7.3
Sakasama no Patema: Beginning of the Day	Sci-Fi	Special	4	7.5
Golgo 13 (TV)	Action, Adventure, Drama, Seinen, Thriller	TV	50	7.61
Last Exile	Action, Adventure, Sci-Fi	TV	26	7.94
Pokemon: Maboroshi no Pokemon Lugia Bakutan	Adventure, Comedy, Drama, Fantasy, Kids	Movie	1	7.46
Gantz 2nd Stage	Action, Drama, Horror, Psychological, Sci-Fi, Supernatural	TV	13	7.29
Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou	Comedy, Romance, School, Super Power	Special	6	7.4
Ghost in the Shell 2.0	Action, Mecha, Police, Psychological, Sci-Fi, Seinen	Movie	1	8.12
Black Cat	Adventure, Comedy, Sci-Fi, Shounen, Super Power	TV	23	7.52
Kyoukaisenjou no Horizon	Action, Fantasy	TV	13	7.29
Major S1	Comedy, Drama, Shounen, Sports	TV	26	8.42
Himouto! Umaru-chanS	Comedy, Seinen, Slice of Life	Special	12	7.01
Ganbare Genki	Action, Comedy, Shounen, Sports	TV	35	7.6
Saber Marionette J	Action, Adventure, Comedy, Drama, Harem, Martial Arts, Mecha, Romance, Sci-Fi, Shounen	TV	25	7.45
Lostorage Incited WIXOSS	Game, Psychological	TV	12	7.03
Sekai Seifuku: Bouryaku no Zvezda	Action, Comedy, Fantasy	TV	12	7.18
Anime Sanjuushi	Adventure, Drama, Historical, Romance	TV	52	7.3
Ai Yori Aoshi: Enishi - Miyuki	Comedy, Drama, Romance	Special	1	7.04
Kami nomi zo Shiru Sekai	Comedy, Harem, Romance, Shounen, Supernatural	TV	12	7.95
Tengen Toppa Gurren Lagann Movie: Gurren-hen	Action, Comedy, Mecha	Movie	1	8.22
Gate Keepers	Action, Comedy, Fantasy, Mecha, Sci-Fi, Shounen	TV	24	7.07
Omoide Poroporo	Drama, Romance, Slice of Life	Movie	1	7.64
